grsItemDispAuth,grsItemTitle,grsItemDescription,grsItemRetention,grsItemDateApproved,grsItemRevision,grsItemCategories
GRS-262,County election ballots and returns,"These records are election returns, and include the poll book, all affidavits of registration, the military and overseas absentee voter registration and voting certificates, tally sheets, and all ballots.","Retain for 22 months, and then destroy records.",1995-04-01,Current,Clerk
GRS-1728,Audit work papers,"These records contain the audit results and evidence supporting the final report and provide a link between the field work and the auditor's report. Work papers collected during the course of the audit include financial statements, client-prepared documents, analysis, data, and correspondence which documents the performance of audits and their conclusions.","Retain for 10 years, and then destroy records.",2016-03-01,Current,Administrative
GRS-631,Hazardous household waste disposal records,"These records document the disposal of hazardous household waste including empty chemical containers at disposal facilities. Records may include hazardous household waste (HHW) manifests, hazardous waste disposal reports, and other documentation of household hazardous waste disposal.","Retain for 3 years, and then destroy records.",1996-01-01,Current,
GRS-292,Chattel mortgages and indexes,"These are loans which use personal property as collateral filed with the county recorder. They include the date due, lenders name and address, mortgagor's name and address, date of mortgage, amount of loan, installment payments, date of installments, contractual agreement, list of personal property held as collateral. Chattel mortgages are obsolete. In 1965, chattel mortgages were supplanted by the Uniform Commercial Code and in 1983 all mention of chattel mortgages was removed from the statutes of the county recorder. Although these records are no longer created, they may still exist and should follow this schedule.",Permanent. Retain for 10 years. Transfer records to the archives.,2021-04-01,Current,"Intrinsically Historical,Recorder"
GRS-1951,Mandated or significant training materials,"These are materials created by an agency to provide mandated training, training related to significant dealings or interactions with the public, training that may affect an individual's rights, or training regularly given to members of other government bodies. Records include one copy of each significantly different version of training content in any format. Training materials that support routine administrative processes are not included and are covered under GRS-1732 Operational procedure and guideline records.",Permanent. Retain until end of project or program. Transfer records to the archives.,1990-07-01,Current,Human Resources
GRS-276,Petitions for naturalization,"These books contain completed federal naturalization forms. These petitions are filed by individuals declaring their intention to become U.S. citizens and who have met the residency requirements to make formal application for U.S. citizenship. A petition is the final step in becoming a United State citizen. It includes the the individual's name, residence, occupation, birth date and place; the place emigrated from; date and place of arrival, and vessel name; date and court of declaration of intention; spouse's name, birthplace, and residence; children's names, birth dates, birthplaces, and residences; and any previous applications filed. Also included are the affidavits of two witnesses, the oath of allegiance, and a court order admitting the person to citizenship. Although these records are no longer created, they may still exist and should follow this schedule.",Retain permanently. Records may be transferred to the archives.,1991-03-01,Current,Clerk
GRS-1720,Transitory tracking records,"These records document transitory transactions. Information tracks services rendered, movement of people, materials, and includes internet website visitor information.","Retain for 1 year, and then destroy records.
OR
Retain until administrative need, whichever is less, and then destroy records.",2018-04-20,Current,Administrative
GRS-16582,"Proclamations, Declarations, and Executive Orders","These are proclamations, declarations, or executive orders issued by a governor, mayor, or other executive officer or body. Proclamations are formal public announcements related to certain matters of government. They may designate classes of cities, call special legislative sessions, publish states-of-emergency, or publicly avow or cause certain matters of state government to be made generally known. Declarations may recognize or call attention to people, groups, bodies, or actions that have a public purpose; designate special days or other time periods; or invoke specific legislative purposes. Executive orders set policy for an executive branch of government; create boards and commissions; provide for the transfer of authority; or otherwise interpret, implement, or give administrative effect to a provision of the Constitution, state law or executive policy.",Retain permanently. Records may be transferred to the archives.,2021-08-23,Current,"Administrative,Governor"
GRS-254,Elected or appointed officials register,"Records that would fall under this schedule contain complete registers or lists of elected and/or appointed officials of government entities. They are used for reference purposes within the entity. They may include the name of the official, residence, office, date of election or appointment, beginning and ending term dates, amount of bond posted, name of sureties, remarks, and date of resignation or date of death.",Retain permanently. Records may be transferred to the archives.,1991-03-01,Current,Clerk
GRS-256,Declarations of intention,"These volumes contain completed declaration of intention forms for residents seeking to become United States citizens. A declaration of intention preceded a petition to become a citizen by two or more years. The forms included the following information: state; county; name, age, occupation, and description of applicant; place and date of birth; current residence; information on immigration (name of vessel, port arrived, date of arrival); and last foreign residence and name and title of ruler to whom he would renounce allegiance.?Although these records are no longer created, they may still exist and should follow this schedule.",Retain permanently. Records may be transferred to the archives.,1991-03-01,Current,Clerk
GRS-591,Private wells records,"These records document the approval of the department for the construction and use of private water wells. These records include the property, contractor, and inspection details.","Retain until final action, and then destroy records.",1992-12-01,Current,Health
GRS-122,Americans with Disabilities Act building records,"These records document compliance with the Americans with Disabilities Act (ADA) (1990) regarding equal access to government facilities. They include surveys of government buildings to determine accessibility to people with disabilities, federal regulations, proposals for implementing the act, correspondence, resolutions, and solutions to access problems.","Retain for 15 years, and then destroy records.",1995-06-01,Current,Facility Management
GRS-16555,Special assessment project governance records,"Special assessments are charges levied against a specific geographic area for specific benefits from public projects. These records are used to ensure legal requirements are met to establish the area. These records document the governing body's resolutions, hearings, ordinances, maps, and related records.",Retain permanently. Records may be transferred to the archives.,2020-01-27,Current,Clerk
GRS-350,Prisoner activity records,"These records document prisoner activities. They include the prisoner's name and number, date, time, activity, and reporting deputy's name.","Retain for 2 years, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-352,Law enforcement master name index,"This is an index of names which contain information on each individual having been interrogated, arrested, or named as a suspect or accomplice in a crime, and the names of victims, complainants and witnesses to incidents. Information includes names, incident details, report of event, and related records.","Retain until superseded, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-324,Commitment orders,"These are the orders to commit persons to jail. They include defendant's name, commitment order number, order date, court, offense charged, imprisonment term and/or conditions, judge's signature, and date received by sheriff's office.","Retain until final action, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-551,Emergency response hazardous waste case files,"These case files document the investigation of hazardous waste incidents including the cleanup, the process and the proper waste disposal. Information includes complaint, incident, spill, response, and remediation details.",Retain permanently. Records may be transferred to the archives.,2020-01-27,Current,Health
GRS-282,Campaign financial disclosure statements,"These are financial reports required to be submitted by all candidates and political parties running for an elected office. Information includes donors and contributions, and campaign expenditures.",Retain permanently. Records may be transferred to the archives.,1994-06-01,Current,Clerk
GRS-380,Local tie records,"These records document the permanent corner locations of each section or quarter section.? Information includes township, section, range, monuments, corners, survey measurements, markers, and survey or replacement date to allow for accurate location of corner.","Retain until superseded, and then destroy records.",1991-12-01,Current,Surveyor
GRS-16558,Vehicle ownership records,"These records document ownership, registration, and operation of government-owned vehicles.","Retain until final action, and then destroy records.",2019-11-18,Current,
GRS-355,National crime information center (ncic) records,"These records document the entry and removal of information by law enforcement into the NCIC system, which is maintained by the FBI. Information is used to trace stolen articles, missing or stolen guns, wanted persons, and missing juveniles.","Retain until final action, and then destroy records.",2020-01-27,Current,Law Enforcement
GRS-281,Voter registration notice,"These notices are sent to registered voters to check current addresses. These records include the voter's current address, voter's signature, and a listing of voters to whom notice was sent.","Retain for 2 years, and then destroy records.",1995-09-01,Current,Clerk
GRS-370,Warrant records,"Warrants issued by a court to a law enforcement agency for specific purposes, including to search property, arrest a person, track a vehicle, collect DNA for testing, or other reasons. Information may include purpose of issued warrant, directions from court, required person and location details, logs of served warrants, and related records.","Retain until resolution of issue, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-1968,Employee health and medical records,"These records document an employee's health and medical history as it relates to their employment. They may include doctor's notes, Family Medical Leave Act records, physical or psychological evaluations, or any other records related to an employee's fitness for duty.","Retain for 7 years, and then destroy records.",2020-11-24,Current,Human Resources
GRS-16584,Archaeological project records,"These are records of archaeological projects undertaken by a government agency. They may include narrative reports, photographs, field notes, descriptions, and related information, as well as contextual information about the project.",Retain permanently. Records may be transferred to the archives.,2022-01-25,Current,
GRS-280,Wills and indexes,"These wills were stored by the clerk for safekeeping, as per Utah Code 75-2-901(2016). As a service to county residents, the county clerk may store and index wills filed by residents for security purposes until needed or retrieved. Although this process is no longer followed, these records may still exist and should follow this schedule.",Permanent. Retain until resolution of issue. Transfer records to the archives.,1991-03-01,Current,Clerk
GRS-1692,Administrative rule records,"Information an agency relies upon when making a rule under the Utah Administrative Rulemaking Act, Title 63G, Chapter 3, including copies of ""(a) the proposed rule, change in the proposed rule, and the rule analysis form; (b) the public comment received and recorded by the agency during the public comment period; (c) the agency's response to the public comment; (d) the agency's analysis of the public comment; and (e) the agency's report of its decision making process."" (Subsection 63G-3-102(1)) Also may include records and other information used by agencies to support rulemaking decisions.",Retain permanently. Records may be transferred to the archives.,2006-02-01,Current,Administrative
GRS-2021,Surveillance recordings,"These records consist of surveillance used to record activity on government property or involving government vehicles. Incidents requiring further evaluation are not included. For law enforcement dash-cam or body-cam footage, please use GRS-2027 Dispatch and patrol records.","Retain until resolution of issue, and then destroy records.",2006-04-01,Current,Security Services
GRS-1949,Service record cards,"Cards for employees separated or transferred. These records are no longer being actively created, though they may still exist and should follow this schedule.",Permanent. Retain for 3 years. Transfer records to the archives.,1990-07-01,Current,Human Resources
GRS-1391,Family history cards (census cards),"These card files document surveys undertaken of families residing within the school district. These surveys were undertaken during the 1950s, 1960s, and 1970s and were used as an official accounting of children living within the school district boundaries for planning purposes. These time-consuming surveys were discontinued during the 1980s. The cards include date, parents' names and address, children's names, gender, and ages. Although these records are no longer created, they may still exist and should follow this schedule.",Retain permanently. Records may be transferred to the archives.,1997-06-01,Current,Education
GRS-16587,Land use lease agreements,"These records are land use lease agreements and related documentation. The agreements may be related to mineral, oil, industrial, energy, agricultural, or other special uses.",Retain permanently. Records may be transferred to the archives.,2022-09-26,Current,
GRS-16595,Purchasing records,"These records document the purchase of equipment and other materials made by the department. Information includes a description of the item being ordered, requesting party, name of vendor, delivery and payment details.","Retain for 7 years, and then destroy records.",2023-11-27,Current,
GRS-1019,Municipal election records,"These records document primary and general elections administered by a municipality. They are used to verify that elections were held in accordance with statute. All records required in elections are included except ballots, returns, canvasses, and campaign financial disclosure statements, which have separate retention schedules.","Retain for 22 months, and then destroy records.",1997-12-01,Current,Clerk
GRS-454,Exposure reports,"This report is completed when a fire fighter is exposed to toxic fumes, smoke, or chemicals during the course of fire fighting. It is used to verify exposure in case of illness. It includes employee's name, position, station, address where injury occurred, name and type of occupancy, date and time of exposure, incident number, description of exposure, duration of exposure, symptoms present, date and signature of employee, and date and signature of supervisor.","Retain for 30 years, and then destroy records.",1996-01-01,Current,Fire Department
GRS-467,Questionable cases dispatch recordings,These are recordings containing portions of dispatch activity recordings concerning questionable cases. Recordings are made of all incoming and outgoing phone and radio calls received by the office.,"Retain for 2 years after resolution of issue, and then destroy records.",1991-12-01,Current,Fire Department
GRS-266,County license books,"This is a record of all business licenses issued by the county. ""The governing body of a county may license for the purpose of regulation and revenue any business within the unincorporated areas of the county"" (UCA 17-53-216 (2008)). The type of licenses recorded in these books may vary according to the county issuing and when license was issued.",Retain permanently. Records may be transferred to the archives.,1991-03-01,Current,Clerk
GRS-116,Vehicle assignment records,"These are assignment logs, reports, authorizations, and similar records relating to the assignment and use of vehicles by employees or officials.","Retain for 1 year, and then destroy records.",1991-06-01,Current,Maintenance
GRS-442,Nonresidential building plans,"These are the blueprints and specifications submitted by building contractors or owners when applying for a building permit for the construction of commercial, industrial, or apartment structures. The specifications are compiled by the architect for use by the contractor to complete detail work providing type, grade, brand of materials to be used and general conditions which govern the methods to be employed. They also identify the temporary facilities, job cleanup, security, time limits, deadlines, and responsibilities of the architect, owner and contractor. They are used for determining code compliance and the enforcement of building codes.","Retain for 7 years after final action, and then destroy records.",1991-12-01,Current,Building Inspection
GRS-35,Notary bond files,"These files document employees providing service to county agencies as notaries public. They include valid certificates, copies of bonds, and any related correspondence.","Retain for 1 year after final action, and then destroy records.",1995-06-01,Current,Administrative
GRS-645,Recreational equipment records,"These records document recreational equipment and tools loaned in connection with reserved park areas and other recreational facilities. They are used to maintain a record of location of equipment. They include name of group, name, address, phone number of person picking up equipment; date of issue; reservation date; date of return; location reserved; quantity and equipment picked up.","Retain for 1 year, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-516,Library patron requests,"These are requests by library patrons for materials currently checked out or to add new materials to the library collection. They may include library card number; patron's name, address, telephone number, and signature; call number, author, and title of material requested; patron's signature, and indication of material's status (checked out, overdue, reordered, out-of-print).","Retain for 1 year, and then destroy records.",1993-12-01,Current,Library
GRS-464,Unapproved tank applications,"These are applications received by the fire department requesting a permit to store flammable liquid or liquid petroleum, but were denied after inspection. They include the application form and an inspection report indicating reasons for permit's denial.","Retain for 2 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-1526,Free and reduced meals applications,"These application forms are completed by families requesting free or reduced price meals. They list all household members, give a breakdown of monthly household income, and require the signature and social security number of the adult household members applying. A section is completed by the school/district, which identifies the approved meal type (free/reduced) and is signed and dated by the approving official.","Retain for 3 years, and then destroy records.",1999-06-01,Current,Education
GRS-643,Recreation program files,"These program files document specific sponsored recreational programs. They are used for reference in developing future programs. They include flyers of specific programs, reservation records, copies of receipts for fees paid and press releases. They also include an accounting of participants and receipt numbers.","Retain for 3 years, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-446,Enforcement case files,These case files document housing and zoning complaints. They are used to document actions concerning the complaints and for reference purposes. They are arranged by address or name of complainant.,"Retain for 5 years, and then destroy records.",1991-12-01,Current,Building Inspection
GRS-651,Supervisor's daily/weekly reports,"These report forms are compiled daily or weekly by each crew supervisor. They are used for budget planning and developing future plans. They include date, crew name, purpose of job, list of crew members, hours worked, pay amount per hours worked, total cost of labor, equipment used, and amount of rental equipment.","Retain for 1 year, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-1137,Sewer line monitoring records,These are videotape reports taken by special monitoring cameras located at critical parts of the sewer lines. They are used to monitor conditions of the sewer lines.,"Retain for 3 years after superseded, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-507,Library circulation records,"These are records of all library materials checked out from the library system. They may be automated or manual systems. The information includes the item title, identification number (barcode number), date item due, patron name and library card number.","Retain until resolution of issue, and then destroy records.",2018-04-20,Current,Library
GRS-43,Constitution and bylaws,"These are the charters, and constitution and bylaws of governing bodies. They establish the organization and operational procedures for the board. They usually include date of adoption and amendments, description and purpose of board, membership, description and responsibilities of board's positions, meeting frequency, voting procedures, explanation of what constitutes a quorum, and the establishment of procedural rules.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Administrative
GRS-1360,Inventory records,"These records are used to maintain an inventory of supplies and equipment previously purchased by the district and their suppliers. Information includes item number, item description, names of suppliers, stock on hand, and ordering information.","Retain for 1 year, and then destroy records.",1996-08-01,Current,Purchasing
GRS-691,Special assessment plats,"These plats show the location of properties that are affected by special assessments. Plats are used for reference and for compilation of the tax roll. They include footage, actual property lines, township and range, rights-of-way, monument markers, lot measurements, blocks, subdivision names, and color coding to indicate properties being assessed.","Retain for 5 years, and then destroy records.",1994-06-01,Current,Public Works
GRS-201,Assessor appraisal cards,"These records contain the complete information on the appraisal and assessment of real property. Information includes the taxpayer's name, property address, serial number, legal description including acreage, improvements (size, quality of building, list of taxable features of improvement and photographs of improvements), assessed valuations for land and improvements, notes regarding Board of Equalization adjustments, and factoring worksheets.",Retain permanently. Transfer records to the archives.,1991-06-01,Current,Assessor
GRS-1969,Complaint investigation files,Initial documentation of complaints that result in an investigation of an employee but do not result in disciplinary action.,"Retain for 7 years after separation, and then destroy records.
OR
Retain for 7 years after case is closed, and then destroy records.",2018-05-01,Current,"Human Resources,Law Enforcement"
GRS-16548,Section 504 student records,"These records document the progress and participation of students under Section 504 of the Rehabilitation Act. Records may include 504 plans, manifestation review records, parental information and correspondence, financial assistance, assessments and related records.","Retain for 3 years after separation, and then destroy records.",2018-06-14,Current,Education
GRS-452,Equipment run logs,"These logs record information on each run (fire, medical, public assistance) and each apparatus used (ladder, engine, rescue unit) in each station. It is used to compile annual statistical reports for projecting future service, budget needs and planning for future liability. These logs include time of occurrence, address, run number, time in service, type of run, and equipment used.","Retain for 2 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-705,Housing and urban development financial records,"These files document the granting of Housing and Urban Development (HUD) funds for the rehabilitation of homes. These projects concern historic preservation, employment survey, and environmental review. They include financial reports, preliminary reports, and all other financial records (24 CFR 58? (1993)).","Retain for 3 years, and then destroy records.",1992-03-01,Current,Redevelopment
GRS-405,Homebound cards,"These are cards on all clients receiving meals at home (Meals-on- Wheels). They are used for reference purposes or in emergency situations. The cards include client's name, address and telephone number, days scheduled to receive meals, name and telephone number to contact in an emergency, physician's name and telephone number, date service started and date service canceled.","Retain until superseded, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-1081,Firearms inventory cards,"These card files list all firearms in the law enforcement entity's inventory. Cards contain name of manufacturer, serial number, model, caliber, to whom issued, by whom issued and date. Files also show illegal weapons that cannot be resold, and guns not serviceable which are used for training purposes.","Retain for 2 years after final action, and then destroy records.",1989-12-01,Current,Law Enforcement
GRS-73,Fixed asset records,"These records relate to tangible assets such as property and equipment owned by a governmental entity. Information includes substantiation, purchases, deprecation, inventories, and related records.","Retain for 10 years after disposition of asset, and then destroy records.",2018-04-20,Current,Facility Management
GRS-112,Fuel records,"These are logs, reports, or similar records documenting mileage and gasoline, oil, and diesel fuel purchased or used.","Retain for 2 years, and then destroy records.",1991-06-01,Current,Maintenance
GRS-646,Recreational facility files,"These files document each recreational facility (i.e., parks, golf courses, fair grounds). They are used to maintain a record of construction and renovation projects in each facility for historical and informational purposes. They may include correspondence, architectural drawings, contracts, specifications, newspaper clippings, histories of individual facilities, and photographs.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Parks and Recreation
GRS-683,Flood control permit applications,"These applications are completed by developers and homeowners requesting a permit to construct within a flood plain. They are also required for the construction of any facility or discharge of any runoff into specific facilities. The permit provides that the structure or operation covered could be stopped, removed or destroyed by the governmental entity in a flood emergency and that all structures are subject to inspection at permittee's cost. The applications include firm's or individual's name, address, and telephone number; proposal's description, including construction type, purpose, location (including engineering calculations, and any special conditions); grantee's signature; date; recommendations on whether request should be approved or denied; and (if approved) director's signature.",Retain permanently. Records may be transferred to the archives.,1994-06-01,Current,Public Works
GRS-510,Interlibrary loan records,"These records document the lending and borrowing of library materials through the interlibrary loan network. They include interlibrary loan forms, computer searches, related correspondence and memoranda. The interlibrary loan forms include patron's name, address, telephone number, description of material being requested (author, title, publisher, publication date), a signed statement indicating patron willing to assume costs for borrowing material, status indication (overdue, lost, out-of-print), indication of search strategy, date material provided, and date material to be returned.","Retain until final action, and then destroy records.",1993-12-01,Current,Library
GRS-1234,Fire investigation reports,"These reports are completed daily and monthly on all fire investigations. They are used for investigative purposes and for identifying trends in arson incidents. They include date and time of investigations, fires investigated, cause of fire, whether arrests or convictions are made, time spent in court and/or special investigations, training received, flammable liquid and hazardous chemical incidents, tank inspections, consultations, and any special assignments completed.","Retain for 6 years, and then destroy records.",2018-04-20,Current,Fire Department
GRS-650,Sports teams records,"These records document the sponsorship of adult and/or youth team sport activities (e.g., baseball, basketball, volleyball, soccer, softball). They include information on teams, participants, and sponsors; assignment of umpires; regular play schedules; tournament schedules; and awards and prizes.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Parks and Recreation
GRS-461,Pump test records,"These files contain the results of tests conducted on pumping equipment. These annual tests are used to certify pumping capabilities and to check equipment for stability and endurance. They include apparatus number, date tested, station number, where tested, manufacturer's name and number, test results, time taken, and remarks.","Retain for 2 years after resolution of issue, and then destroy records.",1991-12-01,Current,Fire Department
GRS-465,Utah emergency medical services (ems) incident report,These report forms record both statistical and patient information on all EMS calls received by the fire department. They serve as the medical chart for all persons treated by the department's paramedics.,"Retain for 7 years, and then destroy records.",1996-01-01,Current,Fire Department
GRS-161,Labor-management relations files,"These files document the relationship between management and employee unions or associations. They include correspondence, memoranda, and reports.","Retain for 5 years, and then destroy records.",1991-06-01,Current,Human Resources
GRS-457,Hydrant maintenance card files,"These card files (or other similar discrete media) document the maintenance of fire hydrants. They are used to locate fire hydrants and to verify annual inspections which document they are functioning properly. They include location, notations and dates of annual inspections indicating physical characteristics, operations, flow check, pressure and leakage.","Retain for 1 year after final action, and then destroy records.",1991-12-01,Current,Fire Department
GRS-704,Facade project files,"These files document the regranting of funds to restore exteriors of architecturally important structures in project areas. These grants are totally funded grants made to individual property owners for separately assessed structures. The files include a work contract, photographs, and related correspondence.",Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Redevelopment
GRS-680,Encroachment agreements,"These are agreements between the county or municipality and property owners allowing them to extend fences or plants (bushes and trees) within the right of way. The agreements include date, licensee's name and address, agreement terms, licensee's notarized signature, and signatures of the commission chair and clerk.","Retain for 6 years after contract expires, and then destroy records.",1994-06-01,Current,Public Works
GRS-655,Board of adjustment case files,These case files document the zoning activities of the Board of Adjustment. They are used to document the cases brought before the Board of Adjustment and its decisions. They contain the original application; findings and order; correspondence; and any exhibits such as plot plans or elevations.,Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Planning and Zoning
GRS-326,Crime analyses files,These records document criminal activity in a given jurisdiction. They are used to analyze trends and forecast potential problems.,"Retain for 2 years, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-706,Housing and urban development historical properties grant files,"These files document the granting of Housing and Urban Development (HUD) funds for the rehabilitation of homes. These granted fund projects dealing with historic preservation, employment survey, and environmental review. These files include copies of the plan, copies of the original grant, final report, resolution, copies of council minutes, and related correspondence (24 CFR 58 (1993)).",Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Redevelopment
GRS-1535,Lunch tally,This records the anticipated lunch count for the noon meal. IT is used for food preparation purposes. This form includes the number of students and adults planning to have lunch as well as the milk count.,"Retain until superseded, and then destroy records.",1999-06-01,Current,Education
GRS-519,Library registration records,"This registration card is completed by patrons applying for a library card. This information is used for the checkout of library materials, monitoring of overdue books, fines and fees, and for the on-going verification of address and telephone number. Some libraries issue library cards for a specified period while other library cards never expire if used on a regular basis. Nonexpiring library cards normally become inactive after one year of nonuse. The card may be retained for verification purposes. The card includes patron name, home and business addresses and telephone numbers, application date, and birth date.","Retain for 1 year, and then destroy records.",1993-12-01,Current,Library
GRS-995,Construction statistical reports,"These reports are a monthly summary of construction and demolition activity in terms of permits, cost, and housing units. They are created from information compiled from the permit invoices and show the comparison to the same month for the previous two years. They are used for statistical analysis of current development trends. This information is submitted to both the U.S. Census Bureau and Utah Bureau of Economic and Business Research.","Retain for 2 years, and then destroy records.",1988-12-01,Current,Building Inspection
GRS-687,Materials test results,"These reports contain the results of sieve analysis and nuclear density tests on asphalt, road base concrete, and soils. They are used for conformance of specifications for approval of various materials used on construction projects. Reports include: date, type of material, weight of material, amount of tests performed, and results of tests (sieve analysis results, percent of compaction, and cylinder compressive tests).","Retain for 3 years after end of project or program, and then destroy records.",1994-06-01,Current,Public Works
GRS-190,Vendor list,"This is a list of vendors providing goods and services to the governmental entity. It usually includes names of vendors, addresses, phone numbers, and descriptions of goods or services provided.","Retain until superseded, and then destroy records.",1991-06-01,Current,Purchasing
GRS-448,Bicycle registrations,"These are records relating to the required licensing of all bicycles sold. All cycle dealers are required ""to license or arrange to have licensed at time of purchase"" all cycles and ""to keep records on all cycles sold and to furnish, within thirty days of sale, their respective city or county police department with the name and address of retailer; year and make of cycle; a general description of cycle; frame number; name and address of purchaser"" (UCA 11-21-1 (1997)). Bicycle registration may be handled by either the fire or police department.","Retain for 3 years, and then destroy records.",1991-12-01,Current,Fire Department
GRS-708,Owner project files,These project files document both successful and unsuccessful negotiations and ongoing agreements for the purchase of property for redevelopment projects. The files include copies of agreements and related correspondence.,"Retain for 4 years after end of project or program, and then destroy records.",1992-03-01,Current,Redevelopment
GRS-462,Supervised fire drill reports,"These monthly report forms are completed on all supervised school and hospital fire drills. They are used to verify fire drills were held and to compile annual reports. They include drill number, date, school or hospital name, grade, fire fighters present, number of students involved, and signature of chief or supervisor.","Retain for 2 years, and then destroy records.
OR
Retain for 1 year after completion of publication or report, and then destroy records.",1991-12-01,Current,Fire Department
GRS-644,Recreational activity release records,"This form is completed by individuals participating in recreational activities. It is used to verify that participants have released all rights and claims for possible injuries in recreational activities. They include individual's name, team name, sport, date, medical insurance company, and signature.","Retain for 2 years, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-509,Library holdings catalog,"This catalog serves as a finding aid for library users in locating library materials currently in library collection. Manual card catalogs have been replaced in many library with on-line catalogs. These catalogs are constantly being updated as materials are added and withdrawn. The information includes call number, author, title, publisher, number of copies, date, and subject headings. Computer catalogs also include number and status of copies (on shelf, checked out, and date due).","Retain until final action, and then destroy records.",1993-12-01,Current,Library
GRS-676,Delivery tickets,"These are tickets issued by suppliers to verify delivery of supplies (concrete, road base, gravel, and topsoil). They include date, time, amount of mix received, and a list of miscellaneous supplies received.","Retain for 3 years, and then destroy records.",1994-06-01,Current,Public Works
GRS-908,Experience works program files,"These files document the governmental entity's participation in the Green Thumb Program. This is a program designed to improve the economic and social conditions of older citizens and rural communities by providing essential community services through promoting the employment and training of older Americans. The Green Thumb Program is sponsored by the National Farmer's Union and is funded by the U.S. Department of Labor. Participants are low income persons 55 years and older who work an average of 20 to 24 hours per week. The files include time cards, Green Thumb employment form, performance review forms, enrollee job description, work schedule, medical examination form, memoranda, surveys, and related correspondence.","Retain for 3 years after final completion of report, and then destroy records.",1996-11-01,Current,Human Resources
GRS-686,Interlocal agreements,"These are agreements between the county and municipalities within the county to provide public works services. They include date, city's name, provisions of the agreement, payments to be made, and signatures of county commission chair, county clerk, and city representatives.","Retain for 6 years after expiration of contractual agreement, and then destroy records.",1994-06-01,Current,Public Works
GRS-700,Appraisal project records,"These records are used to investigate a project's viability, determine costs, and negotiate for purchase of real property. Records may include evaluations of properties and structures within proposed projects; financial and architectural assessments, and destructions of the condition of involved structures.",Retain permanently. Records may be transferred to the archives.,1992-03-01,Current,Redevelopment
GRS-1169,Survey field books,"These books contain the original field notes of survey parties' daily survey measurements. The notes are a constant source of information for design surveys, civic improvement, benchmarks, elevations, property surveys, and for updating measurements and information on atlas plats. They include survey measurements, elevations, and grade with some sketches of the area.",Retain permanently. Records may be transferred to the archives.,1997-06-01,Current,Public Works
GRS-723,Inland water records,"These geospatial records contain information pertaining to the hydrologic features. These are lakes, streams, ponds, and watersheds.",Permanent. Retain for 1 year. Records may be transferred to the archives.,2009-04-01,Current,Geospatial Data Sets
GRS-1937,Notification of personnel actions,"These records document initial employment, promotion, transfers to or from agency, separation, and all other individual personnel actions.","Retain for 4 years, and then destroy records.",1990-07-01,Current,Human Resources
GRS-727,Utilities and communication records,"These geospatial records contain information pertaining to the utilities found in Utah counties and municipalities. These may include telephone infrastructure, electricity transmission lines, storm sewer pipes, and septic tanks.",Permanent. Retain for 1 year. Transfer records to the archives.,2009-04-01,Current,Geospatial Data Sets
GRS-317,Vehicle accident reports,"These files document traffic accidents investigated by law enforcement. The report usually includes complete information on all cars and drivers involved in the accident, accident location, damage, accident causes, date and time, accident diagram, description, and weather conditions.","Retain for 3 years, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-666,Community development block grant administrative records,"Community development block grants (CDBGs) are allocated by the federal government to provide resources to address a wide range of unique community development needs. These projects include both direct grants and regrants. The records document the administration of projects and include the preliminary reports, audits, certificates, maps, and related correspondence.","Retain for 3 years, and then destroy records.",1995-11-01,Current,Planning and Zoning
GRS-1023,Oaths of office,"These files contain copies of signed oaths required of all officials, whether elected or appointed, before entering the duties of their respective offices.",Retain permanently. Records may be transferred to the archives.,1996-12-01,Current,Clerk
GRS-46,Proof of publication files,"When a statute, court order, or judge requires publication of a document or notice in a local newspaper (UCA 78B-5-613 (2009)) evidence of the publication may be given by the affidavit of the publisher along with a copy of the document or notice and specification of the dates of publication. These files may contain proof of publication affidavits, copies of actual newspaper notices and related evidence of the publication.","Retain for 6 years after completion of publication or report, and then destroy records.",2006-07-01,Current,Administrative
GRS-678,Drainage system repair list,"This is a list of all drainage facilities in the system. It is used to prioritize which drains need maintenance. It includes size, type and condition of drainage pipe, type of clean out box, location of facility and condition, depth from flow line to top of lid on road surface, and a brief description of the problem.","Retain until superseded, and then destroy records.",1994-06-01,Current,Public Works
